<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5</div><img src=rnbqkbnr_p1p1pppp_8_1p6_2pP4_5N2_PP2PPPP_RNBQKB1R_w_KQkq_-_0_4+oriTrue.svg>	<div> 4. e3<br></div><a href=https://lichess.org/analysis/rnbqkbnr/p1p1pppp/8/1p6/2pP4/5N2/PP2PPPP/RNBQKB1R_w_KQkq_-_0_4?color=white><br>0.0&gt&gt0.6<br></a><img src=rnbqkbnr_p1p1pppp_8_1p6_2pP4_4PN2_PP3PPP_RNBQKB1R_b_KQkq_-_0_4+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 4-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6</div><img src=rnbqkbnr_p1p2ppp_4p3_1p6_2pP4_4PN2_PP3PPP_RNBQKB1R_w_KQkq_-_0_5+oriTrue.svg>	<div> 5. a4<br></div><a href=https://lichess.org/analysis/rnbqkbnr/p1p2ppp/4p3/1p6/2pP4/4PN2/PP3PPP/RNBQKB1R_w_KQkq_-_0_5?color=white><br>0.6&gt&gt0.4<br></a><img src=rnbqkbnr_p1p2ppp_4p3_1p6_P1pP4_4PN2_1P3PPP_RNBQKB1R_b_KQkq_-_0_5+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 5-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 b4</div><img src=rnbqkbnr_p1p2ppp_4p3_8_PppP4_4PN2_1P3PPP_RNBQKB1R_w_KQkq_-_0_6+oriTrue.svg>	<div> 6. Bxc4 {Oder a5}<br></div><a href=https://lichess.org/analysis/rnbqkbnr/p1p2ppp/4p3/8/PppP4/4PN2/1P3PPP/RNBQKB1R_w_KQkq_-_0_6?color=white><br>0.4&gt&gt0.7<br></a><img src=rnbqkbnr_p1p2ppp_4p3_8_PpBP4_4PN2_1P3PPP_RNBQK2R_b_KQkq_-_0_6+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 6-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6</div><img src=rnbqkbnr_p4ppp_2p1p3_1p6_P1pP4_4PN2_1P3PPP_RNBQKB1R_w_KQkq_-_0_6+oriTrue.svg>	<div> 6. b3<br></div><a href=https://lichess.org/analysis/rnbqkbnr/p4ppp/2p1p3/1p6/P1pP4/4PN2/1P3PPP/RNBQKB1R_w_KQkq_-_0_6?color=white><br>0.4&gt&gt0.4<br></a><img src=rnbqkbnr_p4ppp_2p1p3_1p6_P1pP4_1P2PN2_5PPP_RNBQKB1R_b_KQkq_-_0_6+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 6-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Bb4+ 7. Bd2 Bxd2</div><img src=rnbqk1nr_p4ppp_2p1p3_1p6_P1pP4_1P2PN2_3b1PPP_RN1QKB1R_w_KQkq_-_0_8+oriTrue.svg>	<div> 8. Nfxd2<br></div><a href=https://lichess.org/analysis/rnbqk1nr/p4ppp/2p1p3/1p6/P1pP4/1P2PN2/3b1PPP/RN1QKB1R_w_KQkq_-_0_8?color=white><br>0.3&gt&gt0.4<br></a><img src=rnbqk1nr_p4ppp_2p1p3_1p6_P1pP4_1P2P3_3N1PPP_RN1QKB1R_b_KQkq_-_0_8+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 8-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Nf6 <br>Zugfolge (2..3)</div><img src=rnbqkb1r_p4ppp_2p1pn2_1p6_P1pP4_1P2PN2_5PPP_RNBQKB1R_w_KQkq_-_1_7+oriTrue.svg>	<div>7. bxc4 bxc4 8. Bxc4<br></div><a href=https://lichess.org/analysis/rnbqkb1r/p4ppp/2p1pn2/1p6/P1pP4/1P2PN2/5PPP/RNBQKB1R_w_KQkq_-_1_7?color=white><br>0.3&gt&gt0.7<br></a><img src=rnbqkb1r_p4ppp_2p1pn2_8_P1BP4_4PN2_5PPP_RNBQK2R_b_KQkq_-_0_8+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 7-deep seq
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Nf6 7. bxc4 bxc4 8. Bxc4 Bb4+</div><img src=rnbqk2r_p4ppp_2p1pn2_8_PbBP4_4PN2_5PPP_RNBQK2R_w_KQkq_-_1_9+oriTrue.svg>	<div> 9. Nbd2<br></div><a href=https://lichess.org/analysis/rnbqk2r/p4ppp/2p1pn2/8/PbBP4/4PN2/5PPP/RNBQK2R_w_KQkq_-_1_9?color=white><br>0.7&gt&gt0.6(0.5)<br></a><img src=rnbqk2r_p4ppp_2p1pn2_8_PbBP4_4PN2_3N1PPP_R1BQK2R_b_KQkq_-_2_9+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 9-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Nf6</div><img src=rnbqkb1r_p4ppp_2p1pn2_1p6_P1pP4_1P2PN2_5PPP_RNBQKB1R_w_KQkq_-_1_7+oriTrue.svg>	<div> 7. bxc4<br></div><a href=https://lichess.org/analysis/rnbqkb1r/p4ppp/2p1pn2/1p6/P1pP4/1P2PN2/5PPP/RNBQKB1R_w_KQkq_-_1_7?color=white><br>0.4&gt&gt0.6<br></a><img src=rnbqkb1r_p4ppp_2p1pn2_1p6_P1PP4_4PN2_5PPP_RNBQKB1R_b_KQkq_-_0_7+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 7-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Nf6 7. bxc4 bxc4</div><img src=rnbqkb1r_p4ppp_2p1pn2_8_P1pP4_4PN2_5PPP_RNBQKB1R_w_KQkq_-_0_8+oriTrue.svg>	<div> 8. Bxc4<br></div><a href=https://lichess.org/analysis/rnbqkb1r/p4ppp/2p1pn2/8/P1pP4/4PN2/5PPP/RNBQKB1R_w_KQkq_-_0_8?color=white><br>0.6&gt&gt0.7<br></a><img src=rnbqkb1r_p4ppp_2p1pn2_8_P1BP4_4PN2_5PPP_RNBQK2R_b_KQkq_-_0_8+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 8-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Nf6 7. bxc4 bxc4 8. Bxc4 Be7</div><img src=rnbqk2r_p3bppp_2p1pn2_8_P1BP4_4PN2_5PPP_RNBQK2R_w_KQkq_-_1_9+oriTrue.svg>	<div> 9. Qe2<br></div><a href=https://lichess.org/analysis/rnbqk2r/p3bppp/2p1pn2/8/P1BP4/4PN2/5PPP/RNBQK2R_w_KQkq_-_1_9?color=white><br>0.7&gt&gt0.5(0.5)<br></a><img src=rnbqk2r_p3bppp_2p1pn2_8_P1BP4_4PN2_4QPPP_RNB1K2R_b_KQkq_-_2_9+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 9-deep pgn
<div>1. d4 d5 2. c4 dxc4 3. Nf3 b5 4. e3 e6 5. a4 c6 6. b3 Nf6 7. bxc4 bxc4 8. Bxc4 Ba6</div><img src=rn1qkb1r_p4ppp_b1p1pn2_8_P1BP4_4PN2_5PPP_RNBQK2R_w_KQkq_-_1_9+oriTrue.svg>	<div> 9. Qe2<br></div><a href=https://lichess.org/analysis/rn1qkb1r/p4ppp/b1p1pn2/8/P1BP4/4PN2/5PPP/RNBQK2R_w_KQkq_-_1_9?color=white><br>0.7&gt&gt0.7(0.5)<br></a><img src=rn1qkb1r_p4ppp_b1p1pn2_8_P1BP4_4PN2_4QPPP_RNB1K2R_b_KQkq_-_2_9+oriTrue.svg><footer>2023-11-02 21:36:24</footer>	 QGam QGam/d5-dxc4/D21 9-deep pgn
